time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.0200000000000005,0.0503909428761,-0.0472096363137,1.23990304753,6.25627836715,6.2606100738,0.0,0.160764526041,-0.169512367987,2.43575217899,0.0129836307709,0.0127879268513,0.0,481.083673602226,482.5074922673157,482.05646184306124,482.6253887962325
1.0800000000000005,0.060432997329,-0.057854475346,1.38608156996,6.25697003806,6.26179823454,0.0,0.173881971757,-0.185251937861,2.43686541104,0.00844464056123,0.0310515390703,0.0,409.26319454691577,410.88553317697216,411.0426625258283,410.6401138872138
1.1400000000000006,0.0713672604581,-0.0695922059125,1.53847429157,6.25806096173,6.26344871616,0.0,0.190375037497,-0.205895214687,2.64244518472,0.0327380210057,0.0192643169115,0.0,475.21448947863416,474.3102613211427,473.98437820478034,475.8475928670063
1.2000000000000006,0.0831864334648,-0.0824505529137,1.69972046582,6.260363367,6.26474618821,0.0,0.20346877447,-0.222496159514,2.73222392476,0.0477610188987,0.0259698263402,0.0,440.9119949392604,441.4656409376828,439.1981977558196,440.4431318024752
1.2600000000000007,0.0958108000398,-0.0963136437118,1.86896963878,6.26285854535,6.26618061686,0.0,0.217164621787,-0.239289963113,2.90899189947,0.0248768149765,0.0194253679347,0.0,468.5805664081324,468.0715761755392,467.85116009956687,466.066804021719
1.3200000000000007,0.109159151532,-0.111053903979,2.04488172246,6.26449253788,6.26726391191,0.0,0.22767176163,-0.25190374563,2.95463192744,0.0315717976531,0.0151628032259,0.0,428.5322560568208,428.1697145637037,426.7671159916511,427.33840011827544
1.3800000000000008,0.123115966051,-0.126516405001,2.22340163354,6.26644626745,6.26807495855,0.0,0.237472330474,-0.263332777007,2.99592919328,0.0344723851515,0.0100051486995,0.0,427.13826462689354,426.6980754811099,426.0198136059499,426.2682097517905
1.4400000000000008,0.137662563605,-0.142644993875,2.40549043186,6.26878970603,6.26881812356,0.0,0.2473436747,-0.274066048237,3.07349700618,0.0469314856087,0.0167668684902,0.0,438.46177201768273,439.02305797305894,437.64420767874947,438.680781093443
1.5000000000000009,0.152813591182,-0.159396505165,2.59424148008,6.27136480716,6.2695588936,0.0,0.257587186823,-0.284019604243,3.21781604245,0.0333597012461,0.00158381232079,0.0,460.7656202640591,459.56360219117545,459.59684125410007,458.5208267331447
1.560000000000001,0.168562746762,-0.176690501695,2.79150616956,6.27324331333,6.27067792246,0.0,0.267299485626,-0.292234200534,3.35727877807,0.0268539977873,0.0402949849353,0.0,457.2481942803893,460.32185988868093,459.3657337392325,458.8498509536151
